Subject;NumberCorrectSlider;BDM;slider;internet2;age;male;study;semester
299;17;7;1;3;21;1;2;4
300;16;5;4;1;23;0;8;4
301;19;4;5;4;23;0;8;7
302;19;7;3;3;20;1;2;3
303;17;10;3;5;21;1;9;6
304;12;6;2;1;21;0;7;4
305;20;6;1;2;25;1;2;11
306;22;5;1;1;21;0;2;5
307;16;10;1;2;24;0;12;10
308;30;6;1;1;20;0;7;4
309;8;10;1;4;20;1;9;4
310;13;7;7;2;21;0;7;1
311;17;5;1;6;20;0;4;8
312;26;10;1;2;20;1;1;2
313;20;4;3;2;19;0;7;2
314;22;5;1;6;22;1;6;2
315;15;7;1;7;24;0;12;10
316;8;10;6;4;21;0;7;2
317;21;4;2;2;24;0;7;9
318;22;4;5;5;21;0;8;4
319;15;20;3;3;26;1;12;8
320;20;5;5;2;21;0;7;4
321;8;10;1;7;27;0;5;12
322;18;10;6;7;20;1;6;2
323;19;15;1;2;20;0;7;2
324;19;10;7;1;20;1;1;4
325;13;7;2;3;21;1;1;2
326;15;6;1;3;23;1;1;6
327;14;15;1;7;23;0;6;2
328;18;12;3;6;22;0;8;6
329;13;20;1;4;21;0;12;4
330;16;8;1;7;21;0;7;2
331;19;6;5;5;19;0;7;2
332;20;5;3;3;23;1;2;2
333;14;4;1;2;25;0;8;10
334;13;6;3;5;27;1;11;0
335;4;4;1;3;42;0;8;1
336;10;3;5;6;28;1;3;14
337;16;5;2;1;19;0;9;2
338;16;10;1;4;19;1;6;2
339;5;1;1;5;21;0;7;6
340;14;5;1;1;22;0;8;8
341;21;12;1;6;26;0;2;11
342;15;8;4;2;28;0;5;1
343;7;12;1;2;22;0;8;7
344;17;3;2;7;23;0;11;0
345;18;15;1;7;22;1;1;6
346;17;5;4;2;26;0;2;8
347;20;3;4;5;21;0;1;4
348;12;5;3;2;26;0;9;1
349;24;10;1;7;22;1;6;8
350;20;6;1;2;19;0;4;4
351;6;10;7;3;27;0;9;10
352;12;5;6;2;29;0;7;15
353;17;10;4;5;23;1;3;6
354;24;12;2;3;22;1;9;9
355;16;10;2;6;26;0;6;13
356;19;15;2;2;19;1;2;2
357;13;8;4;2;21;0;8;4
358;17;4;2;4;24;0;6;10
359;6;5;1;4;23;0;5;11
360;13;5;1;7;24;0;6;4
361;16;6;1;5;22;0;9;5
362;7;9;1;1;22;0;2;5
363;22;10;1;7;21;1;2;4
364;14;5;2;4;24;0;6;6
365;23;5;2;1;26;1;9;4
366;11;15;1;1;19;0;6;2
367;22;3;1;1;20;0;2;3
368;17;4;2;2;19;0;7;4
369;20;5;6;5;23;0;2;2
370;14;15;1;4;21;1;11;0
371;16;7;1;1;19;1;2;2
372;7;10;2;1;22;0;8;6
373;18;5;2;7;27;1;8;11
374;19;7;3;2;20;1;1;3
375;20;2;5;1;21;0;8;3
376;8;10;1;3;24;0;8;11
377;20;2;3;1;24;0;2;6
378;20;5;1;2;22;1;9;10
379;16;8;1;2;26;0;9;13
380;13;4;3;3;21;0;1;4
381;7;5;1;6;21;0;7;2
382;12;12;1;1;25;0;7;11
383;12;4;4;1;18;0;10;0
384;12;7;1;5;30;0;3;2
385;23;5;2;2;31;1;11;0
386;12;2;1;3;25;0;9;8
387;21;5;2;2;19;1;2;2
388;12;10;1;5;22;1;2;2
389;12;3;6;2;21;0;1;8
390;23;10;6;6;27;1;7;14
391;21;15;1;1;22;0;6;2
392;14;6;1;3;25;1;9;11
393;10;9;1;2;24;0;2;4
394;20;12;5;6;20;1;8;2
395;16;2;3;3;18;0;6;2
396;15;8;1;6;21;1;2;2
397;15;10;6;3;20;0;5;4
