Subject;Session;treatment;Payoff;NumberCorrectSlider;pause_count;BDM;slider;internet2;i5;i10;i15;i20;age;male;study;semester;com_change;weekday;Morning;Noon;year;mon;time;fix;pfp;avg_inv;Internet1;Internet2;effort1;effort2;avg_time_task_1;avg_time_task_2
67;4;TimePfP;8;0;0;7;1;1;5;10;15;20;22;0;6;5;1;2;1;0;2016;0;1;1;0;13;0;0;44;24;41;29
68;4;TimePfP;8;18;0;3;2;2;10;20;30;40;22;0;8;5;1;2;1;0;2016;0;1;1;0;25;0;24;55;10;32;40
69;4;TimePfP;8;21;0;5;4;3;5;10;20;30;23;0;2;2;1;2;1;0;2016;0;1;1;0;16;0;0;59;9;30;30
70;4;TimeGift25;8;16;0;5;5;2;10;20;30;40;28;0;7;17;1;2;1;0;2016;0;1;0;1;25;0;0;68;12;26;24
71;4;TimeGift25;8;13;2;6;1;7;5;10;15;20;20;0;3;2;1;2;1;0;2016;0;1;0;1;13;1548;215;4;1;61;51
72;4;TimeGift25;8;16;1;5;4;2;8;15;20;30;23;0;9;4;1;2;1;0;2016;0;1;0;1;18;65;0;41;8;42;36
73;4;TimeGift25;8;16;0;3;4;1;5;10;15;20;28;0;5;10;1;2;1;0;2016;0;1;0;1;13;0;0;51;4;35;41
74;4;TimeGift25;8;18;0;8;1;3;8;15;22;30;20;1;7;4;0;2;1;0;2016;0;1;0;1;19;0;293;64;0;28;
75;4;MoneyGift;14;18;0;5;3;4;5;10;25;35;20;0;2;4;0;2;1;0;2016;1;0;1;0;19;0;102;55;61;33;28
76;4;MoneyGift;14;17;2;5;1;5;10;20;30;40;24;1;2;2;0;2;1;0;2016;1;0;1;0;25;263;842;43;27;35;34
77;4;MoneyGift;14;29;0;8;1;2;10;20;30;40;23;0;9;2;1;2;1;0;2016;1;0;1;0;25;0;0;66;65;27;27
78;4;MoneyGift;14;12;3;5;1;7;5;15;25;35;22;0;7;4;1;2;1;0;2016;1;0;1;0;20;1060;1496;18;8;40;32
79;4;MoneyGift;14;16;2;5;4;2;5;10;15;20;29;0;5;7;0;2;1;0;2016;1;0;1;0;13;365;927;44;27;32;31
80;4;MoneyPfP;14;18;0;15;1;6;10;20;30;40;25;1;2;8;1;2;1;0;2016;1;0;0;1;25;0;1417;61;13;29;28
81;4;MoneyPfP;13;12;0;2;2;3;10;20;30;40;24;0;7;6;1;2;1;0;2016;1;0;0;1;25;0;1476;51;9;35;33
82;4;MoneyPfP;13;16;0;7;2;2;8;20;30;40;26;0;6;9;0;2;1;0;2016;1;0;0;1;24;0;449;52;37;34;36
83;4;MoneyPfP;15;24;0;5;1;2;5;10;15;20;22;0;2;2;1;2;1;0;2016;1;0;0;1;13;0;1742;73;0;24;
84;4;MoneyPfP;12;16;0;4;1;2;10;20;20;30;22;0;7;6;0;2;1;0;2016;1;0;0;1;20;0;0;44;51;41;35
85;5;MoneyGift;14;18;2;6;2;5;5;12;15;20;25;0;7;2;0;2;0;1;2016;1;0;1;0;13;677;680;37;41;30;27
86;5;MoneyGift;14;25;0;1;4;3;5;5;5;5;21;0;9;2;0;2;0;1;2016;1;0;1;0;5;0;480;56;38;32;34
87;5;MoneyGift;14;23;0;5;5;2;8;20;30;40;26;0;7;8;0;2;0;1;2016;1;0;1;0;25;0;0;66;71;27;25
88;5;MoneyGift;14;16;0;5;3;1;10;20;30;40;21;0;8;6;0;2;0;1;2016;1;0;1;0;25;0;0;35;48;46;37
89;5;MoneyGift;14;13;0;4;2;3;7;17;30;40;21;0;4;4;0;2;0;1;2016;1;0;1;0;24;0;0;47;55;38;32
90;5;MoneyPfP;12;4;0;8;1;1;0;5;15;20;24;1;2;1;0;2;0;1;2016;1;0;0;1;10;0;0;41;0;43;
91;5;MoneyPfP;15;18;0;8;2;3;5;15;25;30;22;0;3;3;0;2;0;1;2016;1;0;0;1;19;0;625;65;34;27;33
92;5;MoneyPfP;13;20;0;30;1;4;8;15;22;30;27;1;1;9;0;2;0;1;2016;1;0;0;1;19;0;1796;50;0;36;
93;5;TimePfP;8;22;0;6;3;2;10;20;30;40;22;1;9;6;1;2;0;1;2016;0;1;1;0;25;0;0;71;0;25;
94;5;TimePfP;8;29;0;7;1;5;7;12;17;0;20;1;2;4;1;2;0;1;2016;0;1;1;0;9;0;0;93;0;19;
95;5;TimePfP;8;19;2;4;1;4;10;20;30;40;23;0;6;2;1;2;0;1;2016;0;1;1;0;25;780;201;25;32;41;29
96;5;TimePfP;8;8;2;5;1;1;3;5;5;7;24;0;2;3;0;2;0;1;2016;0;1;1;0;5;143;0;45;21;37;30
97;5;TimePfP;8;18;0;3;5;2;0;0;5;10;21;1;1;2;1;2;0;1;2016;0;1;1;0;4;0;0;64;6;28;27
98;5;TimeGift25;8;22;3;5;2;5;7;15;20;30;25;0;2;10;0;2;0;1;2016;0;1;0;1;18;684;0;32;10;34;29
99;5;TimeGift25;8;18;2;6;1;1;5;10;15;20;22;1;8;5;1;2;0;1;2016;0;1;0;1;13;265;0;36;9;41;30
100;5;TimeGift25;8;24;0;20;3;1;5;10;25;40;29;1;6;10;1;2;0;1;2016;0;1;0;1;20;0;0;57;10;32;30
101;5;TimeGift25;8;15;1;4;5;1;10;20;30;40;23;0;8;5;1;2;0;1;2016;0;1;0;1;25;2;0;44;7;40;38
102;5;TimeGift25;8;20;1;3;1;2;13;20;33;45;19;1;7;2;0;2;0;1;2016;0;1;0;1;28;247;283;35;0;42;
103;6;TimePfP;8;22;0;5;6;2;5;12;20;30;20;0;1;2;1;2;0;0;2016;0;1;1;0;17;0;0;83;0;22;
104;6;TimePfP;8;17;0;20;2;2;5;8;12;18;25;0;5;10;0;2;0;0;2016;0;1;1;0;11;0;0;56;15;32;26
105;6;TimePfP;8;18;0;10;1;2;0;10;15;25;21;0;1;4;1;2;0;0;2016;0;1;1;0;13;0;0;70;2;26;25
106;6;TimePfP;8;32;2;8;2;3;0;10;12;15;25;1;2;9;1;2;0;0;2016;0;1;1;0;9;371;0;73;0;20;
107;6;TimePfP;8;8;0;10;1;7;8;20;30;40;22;0;7;8;0;2;0;0;2016;0;1;1;0;24;0;0;47;18;38;32
108;6;TimeGift25;8;25;6;5;5;4;5;10;15;20;20;0;7;4;1;2;0;0;2016;0;1;0;1;13;774;291;33;0;30;
109;6;TimeGift25;8;12;2;5;1;2;10;20;30;40;20;0;1;2;0;2;0;0;2016;0;1;0;1;25;132;0;29;5;54;45
110;6;TimeGift25;8;13;0;6;2;4;5;10;14;19;26;1;5;10;1;2;0;0;2016;0;1;0;1;12;0;272;56;0;32;
111;6;MoneyGift;14;13;1;1;1;7;15;30;30;30;28;1;3;14;1;2;0;0;2016;1;0;1;0;26;1792;1789;0;0;;
112;6;MoneyGift;14;18;4;6;1;5;5;10;15;20;24;0;1;2;1;2;0;0;2016;1;0;1;0;13;1387;1641;13;4;30;33
113;6;MoneyGift;14;13;2;3;1;7;5;10;15;20;22;0;7;5;0;2;0;0;2016;1;0;1;0;13;89;339;49;43;35;34
114;6;MoneyGift;14;13;3;7;1;2;8;16;24;35;19;1;2;1;0;2;0;0;2016;1;0;1;0;21;1696;1734;1;0;36;
115;6;MoneyGift;14;16;4;8;1;5;0;5;20;25;25;0;2;10;0;2;0;0;2016;1;0;1;0;13;577;811;31;37;38;27
116;6;MoneyPfP;14;23;0;5;2;3;10;20;30;40;24;0;3;8;0;2;0;0;2016;1;0;0;1;25;0;215;60;56;30;27
117;6;MoneyPfP;14;17;0;8;1;3;5;10;15;20;18;0;2;2;0;2;0;0;2016;1;0;0;1;13;0;1769;60;1;30;30
